[
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/initializeListeners(org.exolab.castor.tests.framework.testDescriptor.ListenerType)|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/configureMapping(java.lang.ClassLoader,java.lang.String)|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_mapping|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/configureMapping(java.lang.ClassLoader,java.lang.String)|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/verbose(java.lang.String)|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/configureMapping(java.lang.ClassLoader,java.lang.String)|>>,
  <<|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/MethodsDescriptor|,|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/ConfigurationTypeDescriptor|>,220,<|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/ConfigurationTypeDescriptor/getIdentity()|,|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/MethodsDescriptor/getIdentity()|>>,
  <<|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/Root_ObjectDescriptor|,|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/RootTypeDescriptor|>,220,<|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/RootTypeDescriptor/getIdentity()|,|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/Root_ObjectDescriptor/getIdentity()|>>,
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_name|,|java+method:///org/castor/xmlctf/SourceGeneratorTestCase/tearDown()|>>,
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_test|,|java+method:///org/castor/xmlctf/SourceGeneratorTestCase/tearDown()|>>,
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/verbose(java.lang.String)|,|java+method:///org/castor/xmlctf/SourceGeneratorTestCase/tearDown()|>>,
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_name|,|java+method:///org/castor/xmlctf/SourceGeneratorTestCase/suite()|>>,
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_unitTest|,|java+method:///org/castor/xmlctf/SourceGeneratorTestCase/suite()|>>,
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/getTestSuiteName()|,|java+method:///org/castor/xmlctf/SourceGeneratorTestCase/suite()|>>,
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/getXMLContext()|,|java+method:///org/castor/xmlctf/SourceGeneratorTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/setXMLContext(org.exolab.castor.xml.XMLContext)|,|java+method:///org/castor/xmlctf/SourceGeneratorTestCase/setUp()|>>,
