{
  <<|java+class:///com/itextpdf/text/pdf/PdfVisibilityExpression|,|java+class:///com/itextpdf/text/pdf/PdfArray|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/Rectangle|,|java+interface:///com/itextpdf/text/Element|>,2,|java+interface:///com/itextpdf/text/Element|>,
  <<|java+class:///com/itextpdf/text/pdf/richmedia/RichMediaWindow|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfAction|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/draw/LineSeparator|,|java+class:///com/itextpdf/text/pdf/draw/VerticalPositionMark|>,2,|java+interface:///com/itextpdf/text/pdf/draw/DrawInterface|>,
  <<|java+class:///com/itextpdf/text/pdf/draw/VerticalPositionMark|,|java+interface:///com/itextpdf/text/pdf/draw/DrawInterface|>,2,|java+interface:///com/itextpdf/text/pdf/draw/DrawInterface|>,
  <<|java+class:///com/itextpdf/text/pdf/CMYKColor|,|java+class:///com/itextpdf/text/pdf/ExtendedColor|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfLayerMembership|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/Paragraph|,|java+class:///com/itextpdf/text/Phrase|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfDate|,|java+class:///com/itextpdf/text/pdf/PdfString|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/BaseFont/StreamFont|,|java+class:///com/itextpdf/text/pdf/PdfStream|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfSignature|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,
  <<|java+class:///com/itextpdf/text/pdf/collection/PdfCollectionSort|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/draw/LineSeparator|,|java+class:///com/itextpdf/text/pdf/draw/VerticalPositionMark|>,2,|java+interface:///com/itextpdf/text/Element|>
}
