[
  <<|java+class:///edu/umd/cs/findbugs/detect/Naming|,|java+class:///edu/umd/cs/findbugs/visitclass/PreorderVisitor|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/PreorderVisitor/visitJavaClass(org.apache.bcel.classfile.JavaClass)|,|java+method:///edu/umd/cs/findbugs/detect/Naming/visitJavaClass(org.apache.bcel.classfile.JavaClass)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/Naming|,|java+class:///edu/umd/cs/findbugs/visitclass/PreorderVisitor|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/PreorderVisitor/getMethodName()|,|java+method:///edu/umd/cs/findbugs/detect/Naming/visit(org.apache.bcel.classfile.Method)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/Naming|,|java+class:///edu/umd/cs/findbugs/visitclass/PreorderVisitor|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/PreorderVisitor/getMethodSig()|,|java+method:///edu/umd/cs/findbugs/detect/Naming/visit(org.apache.bcel.classfile.Method)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/Naming|,|java+class:///edu/umd/cs/findbugs/visitclass/PreorderVisitor|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/PreorderVisitor/getXClass()|,|java+method:///edu/umd/cs/findbugs/detect/Naming/visit(org.apache.bcel.classfile.Method)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/Naming|,|java+class:///edu/umd/cs/findbugs/visitclass/PreorderVisitor|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/PreorderVisitor/getXMethod()|,|java+method:///edu/umd/cs/findbugs/detect/Naming/visit(org.apache.bcel.classfile.Method)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/Naming|,|java+class:///edu/umd/cs/findbugs/visitclass/PreorderVisitor|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/PreorderVisitor/getThisClass()|,|java+method:///edu/umd/cs/findbugs/detect/Naming/visit(org.apache.bcel.classfile.Method)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/Naming|,|java+class:///edu/umd/cs/findbugs/visitclass/PreorderVisitor|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/PreorderVisitor/getSuperclassName()|,|java+method:///edu/umd/cs/findbugs/detect/Naming/visit(org.apache.bcel.classfile.Method)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/Naming|,|java+class:///edu/umd/cs/findbugs/visitclass/PreorderVisitor|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/PreorderVisitor/getFieldName()|,|java+method:///edu/umd/cs/findbugs/detect/Naming/visit(org.apache.bcel.classfile.Field)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/Naming|,|java+class:///edu/umd/cs/findbugs/visitclass/PreorderVisitor|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/PreorderVisitor/getFieldSig()|,|java+method:///edu/umd/cs/findbugs/detect/Naming/visit(org.apache.bcel.classfile.Field)|>>,
  <<|java+class:///edu/umd/cs/findbugs/TextUIBugReporter|,|java+class:///edu/umd/cs/findbugs/AbstractBugReporter|>,220,<|java+method:///edu/umd/cs/findbugs/AbstractBugReporter/reportQueuedErrors()|,|java+method:///edu/umd/cs/findbugs/TextUIBugReporter/reportQueuedErrors()|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment|,|java+class:///edu/umd/cs/findbugs/visitclass/DismantleBytecode|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/DismantleBytecode/visit(org.apache.bcel.classfile.Code)|,|java+method:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment/visit(org.apache.bcel.classfile.Code)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment|,|java+class:///edu/umd/cs/findbugs/bcel/OpcodeStackDetector|>,220,<|java+field:///edu/umd/cs/findbugs/bcel/OpcodeStackDetector/stack|,|java+method:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment/sawOpcode(int)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment|,|java+class:///edu/umd/cs/findbugs/visitclass/DismantleBytecode|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/DismantleBytecode/getRegisterOperand()|,|java+method:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment/sawOpcode(int)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment|,|java+class:///edu/umd/cs/findbugs/visitclass/DismantleBytecode|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/DismantleBytecode/getXFieldOperand()|,|java+method:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment/sawOpcode(int)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment|,|java+class:///edu/umd/cs/findbugs/visitclass/PreorderVisitor|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/PreorderVisitor/getMethod()|,|java+method:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment/sawOpcode(int)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment|,|java+class:///edu/umd/cs/findbugs/BytecodeScanningDetector|>,220,<|java+method:///edu/umd/cs/findbugs/BytecodeScanningDetector/getClassContext()|,|java+method:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment/sawOpcode(int)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment|,|java+class:///edu/umd/cs/findbugs/visitclass/DismantleBytecode|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/DismantleBytecode/getPC()|,|java+method:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment/sawOpcode(int)|>>,
  <<|java+class:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment|,|java+class:///edu/umd/cs/findbugs/visitclass/DismantleBytecode|>,220,<|java+method:///edu/umd/cs/findbugs/visitclass/DismantleBytecode/getSigConstantOperand()|,|java+method:///edu/umd/cs/findbugs/detect/FindFieldSelfAssignment/sawOpcode(int)|>>,
