[
  <<|java+class:///org/exolab/castor/builder/types/XSPositiveInteger|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(17247,32,<353,16>,<353,48>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractDigitsFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSQName|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(17459,29,<357,16>,<357,45>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractLengthFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSString|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(17929,30,<365,24>,<365,54>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractLengthFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSShort|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(18274,29,<373,20>,<373,49>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractDigitsFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSTime|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(18550,28,<379,20>,<379,48>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractRangeFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSString|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(19140,30,<389,20>,<389,50>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractLengthFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/info/CollectionInfo|,|java+class:///org/exolab/castor/builder/info/FieldInfo|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/factory/CollectionJ2MemberAndAccessorFactory.java|(2104,30,<58,37>,<58,67>),|java+method:///org/exolab/castor/builder/info/FieldInfo/getWriteMethodName()|,|java+method:///org/exolab/castor/builder/info/CollectionInfo/getMethodSuffix()|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSGYearMonth|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/createDefaultValueWithString(java.lang.String)|,|java+method:///org/exolab/castor/builder/types/XSGYearMonth/getJType()|>>,
  <<|java+class:///org/exolab/castor/builder/factory/CollectionJ2NoIndexMemberAndAccessorFactory|,|java+class:///org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory/createAddAndRemoveMethods(org.exolab.castor.builder.info.CollectionInfo,org.exolab.javasource.JClass)|,|java+method:///org/exolab/castor/builder/factory/CollectionJ2NoIndexMemberAndAccessorFactory/createRemoveByIndexMethod(org.exolab.castor.builder.info.CollectionInfo,org.exolab.javasource.JClass)|>>,
  <<|java+class:///org/exolab/javasource/JAnnotationType|,|java+class:///org/exolab/javasource/JStructure|>,<|java+project:///|,|java+method:///org/exolab/javasource/JStructure/addImport(org.exolab.javasource.JAnnotation%5B%5D)|,|java+method:///org/exolab/javasource/JAnnotationType/addImport(java.lang.String)|>>,
  <<|java+class:///org/exolab/javasource/JClass|,|java+class:///org/exolab/javasource/JStructure|>,<|java+project:///|,|java+method:///org/exolab/javasource/JStructure/addImport(org.exolab.javasource.JAnnotation)|,|java+method:///org/exolab/javasource/JClass/addImport(java.lang.String)|>>,
  <<|java+class:///org/exolab/castor/builder/info/CollectionInfo|,|java+class:///org/exolab/castor/builder/info/FieldInfo|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/info/FieldInfo/getReadMethodName()|,|java+method:///org/exolab/castor/builder/info/CollectionInfo/getMethodSuffix()|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSString|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/createDefaultValueWithString(java.lang.String)|,|java+method:///org/exolab/castor/builder/types/XSString/getJType()|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSBase64Binary|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/createDefaultValueWithString(java.lang.String)|,|java+method:///org/exolab/castor/builder/types/XSBase64Binary/getJType()|>>,
  <<|java+class:///org/exolab/javasource/JClass|,|java+class:///org/exolab/javasource/JStructure|>,<|java+project:///|,|java+method:///org/exolab/javasource/JStructure/addImport(org.exolab.javasource.JAnnotation%5B%5D)|,|java+method:///org/exolab/javasource/JClass/addImport(java.lang.String)|>>,
  <<|java+class:///org/exolab/castor/builder/factory/CollectionJ2MemberAndAccessorFactory|,|java+class:///org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory/createAddAndRemoveMethods(org.exolab.castor.builder.info.CollectionInfo,org.exolab.javasource.JClass)|,|java+method:///org/exolab/castor/builder/factory/CollectionJ2MemberAndAccessorFactory/createAddMethod(org.exolab.castor.builder.info.CollectionInfo,org.exolab.javasource.JClass)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSListType|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/XSListType/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/javasource/JInterface|,|java+class:///org/exolab/javasource/JStructure|>,<|java+project:///|,|java+method:///org/exolab/javasource/JStructure/addImport(org.exolab.javasource.JAnnotation%5B%5D)|,|java+method:///org/exolab/javasource/JInterface/addImport(java.lang.String)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSClass|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/XSClass/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/AbstractPatternFacet|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractPatternFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSId|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/createDefaultValueWithString(java.lang.String)|,|java+method:///org/exolab/castor/builder/types/XSId/getJType()|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSNormalizedString|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/createDefaultValueWithString(java.lang.String)|,|java+method:///org/exolab/castor/builder/types/XSNormalizedString/getJType()|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSDateTime|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/createDefaultValueWithString(java.lang.String)|,|java+method:///org/exolab/castor/builder/types/XSDateTime/getJType()|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSTime|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/createDefaultValueWithString(java.lang.String)|,|java+method:///org/exolab/castor/builder/types/XSTime/getJType()|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSIdRef|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/createDefaultValueWithString(java.lang.String)|,|java+method:///org/exolab/castor/builder/types/XSIdRef/getJType()|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSGMonth|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/createDefaultValueWithString(java.lang.String)|,|java+method:///org/exolab/castor/builder/types/XSGMonth/getJType()|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSDate|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/createDefaultValueWithString(java.lang.String)|,|java+method:///org/exolab/castor/builder/types/XSDate/getJType()|>>,
  <<|java+class:///org/exolab/javasource/JAnnotationType|,|java+class:///org/exolab/javasource/JStructure|>,<|java+project:///|,|java+method:///org/exolab/javasource/JStructure/addImport(org.exolab.javasource.JAnnotation)|,|java+method:///org/exolab/javasource/JAnnotationType/addImport(java.lang.String)|>>,
  <<|java+class:///org/exolab/castor/builder/info/CollectionInfo|,|java+class:///org/exolab/castor/builder/info/FieldInfo|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/info/FieldInfo/getIsMethodName()|,|java+method:///org/exolab/castor/builder/info/CollectionInfo/getMethodSuffix()|>>,
  <<|java+class:///org/exolab/castor/builder/factory/CollectionJ2NoIndexMemberAndAccessorFactory|,|java+class:///org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory/createAddAndRemoveMethods(org.exolab.castor.builder.info.CollectionInfo,org.exolab.javasource.JClass)|,|java+method:///org/exolab/castor/builder/factory/CollectionJ2NoIndexMemberAndAccessorFactory/createAddByIndexMethod(org.exolab.castor.builder.info.CollectionInfo,org.exolab.javasource.JClass)|>>,
  <<|java+class:///org/exolab/castor/builder/types/AbstractDigitsFacet|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractDigitsFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSUnsignedLong|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/createDefaultValueWithString(java.lang.String)|,|java+method:///org/exolab/castor/builder/types/XSUnsignedLong/getJType()|>>,
  <<|java+class:///org/exolab/castor/builder/factory/CollectionODMG30MemberAndAccessorFactory|,|java+class:///org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/factory/CollectionMemberAndAccessorFactory/createCollectionIterationMethods(org.exolab.castor.builder.info.CollectionInfo,org.exolab.javasource.JClass,boolean)|,|java+method:///org/exolab/castor/builder/factory/CollectionODMG30MemberAndAccessorFactory/createEnumerateMethod(org.exolab.castor.builder.info.CollectionInfo,org.exolab.javasource.JClass,boolean)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSListType|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|java+project:///|,|java+method:///org/exolab/castor/builder/types/XSType/createDefaultValueWithString(java.lang.String)|,|java+method:///org/exolab/castor/builder/types/XSListType/getJType()|>>,
