[
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(11372,23,<285,8>,<285,31>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setImmutable(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(12476,24,<312,8>,<312,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(12510,26,<313,8>,<313,34>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(14674,24,<359,8>,<359,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(14708,26,<360,8>,<360,34>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(16870,24,<405,8>,<405,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(16904,26,<406,8>,<406,34>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(17578,23,<419,8>,<419,31>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setImmutable(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(18672,24,<446,8>,<446,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(18706,26,<447,8>,<447,34>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(19474,23,<463,8>,<463,31>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setImmutable(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(20576,24,<490,8>,<490,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(20610,26,<491,8>,<491,34>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(22559,24,<532,8>,<532,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
