[
  <<|java+class:///org/castor/ddlgen/schemaobject/Table|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(7578,33,<244,13>,<244,46>)>,
  <<|java+class:///org/castor/ddlgen/schemaobject/Table|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(7578,33,<244,13>,<244,46>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(7716,14,<246,12>,<246,26>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(7958,14,<252,12>,<252,26>)>,
  <<|java+class:///org/castor/ddlgen/schemaobject/Field|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(8115,35,<257,17>,<257,52>)>,
  <<|java+class:///org/castor/ddlgen/schemaobject/Field|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(8115,35,<257,17>,<257,52>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(8292,14,<260,16>,<260,30>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(8411,71,<265,13>,<265,84>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(8411,71,<265,13>,<265,84>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(8631,14,<268,12>,<268,26>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(8935,14,<275,12>,<275,26>)>,
  <<|java+class:///org/castor/ddlgen/schemaobject/Field|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(9101,53,<280,17>,<280,70>)>,
  <<|java+class:///org/castor/ddlgen/schemaobject/Field|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(9101,53,<280,17>,<280,70>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(9316,14,<283,16>,<283,30>)>,
  <<|java+class:///org/castor/ddlgen/schemaobject/ForeignKey|,|java+class:///java/lang/Object|>,203,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(9793,18,<299,24>,<299,42>)>,
