[
  <<|java+class:///proguard/gui/splash/BufferedSprite|,|java+interface:///proguard/gui/splash/Sprite|>,|java+class:///proguard/gui/splash/ShadowedSprite|>,
  <<|java+class:///proguard/shrink/UsageMarker|,|java+interface:///proguard/classfile/attribute/visitor/LocalVariableInfoVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/util/ListParser|,|java+interface:///proguard/util/StringParser|>,|java+class:///proguard/util/NameParser|>,
  <<|java+class:///proguard/obfuscate/MapCleaner|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/SubclassedClassFilter|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/classfile/attribute/visitor/AllExceptionInfoVisitor|,|java+interface:///proguard/classfile/attribute/visitor/AttributeVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/classfile/visitor/ImplementedClassFilter|,|java+interface:///proguard/classfile/visitor/ClassVisitor|>,|java+class:///proguard/classfile/editor/MemberReferenceFixer|>,
  <<|java+class:///proguard/optimize/info/DotClassMarker|,|java+interface:///proguard/classfile/instruction/visitor/InstructionVisitor|>,|java+class:///proguard/optimize/peephole/ReachableCodeMarker|>,
  <<|java+class:///proguard/shrink/UsedMemberFilter|,|java+interface:///proguard/classfile/visitor/MemberVisitor|>,|java+class:///proguard/classfile/editor/ClassReferenceFixer|>,
  <<|java+class:///proguard/io/CascadingDataEntryWriter|,|java+interface:///proguard/io/DataEntryWriter|>,|java+class:///proguard/io/ParentDataEntryWriter|>,
  <<|java+class:///proguard/classfile/visitor/ExceptionOffsetFilter|,|java+interface:///proguard/classfile/attribute/visitor/ExceptionInfoVisitor|>,|java+class:///proguard/classfile/editor/ExceptionInfoAdder|>
]
