[
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ComplexContentRestrictionUnmarshaller.java|(4537,23,<115,19>,<115,42>),|java+method:///org/exolab/castor/xml/schema/XMLType/getSchema()|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ComplexContentRestrictionUnmarshaller.java|(4573,57,<117,8>,<117,65>),|java+method:///org/exolab/castor/xml/schema/XMLType/setDerivationMethod(java.lang.String)|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ComplexContentRestrictionUnmarshaller.java|(5084,22,<129,45>,<129,67>),|java+method:///org/exolab/castor/xml/schema/XMLType/getName()|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ComplexContentRestrictionUnmarshaller.java|(5162,22,<130,44>,<130,66>),|java+method:///org/exolab/castor/xml/schema/XMLType/getName()|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ComplexContentRestrictionUnmarshaller.java|(10857,31,<289,12>,<289,43>),|java+method:///org/exolab/castor/xml/schema/Annotated/addAnnotation(org.exolab.castor.xml.schema.Annotation)|>,
  <<|java+class:///org/exolab/castor/xml/schema/XMLType|,|java+class:///org/exolab/castor/xml/schema/Annotated|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ComplexContentRestrictionUnmarshaller.java|(10857,31,<289,12>,<289,43>),|java+method:///org/exolab/castor/xml/schema/Annotated/addAnnotation(org.exolab.castor.xml.schema.Annotation)|>,
  <<|java+class:///org/exolab/castor/xml/schema/SchemaException|,|java+class:///org/exolab/castor/xml/XMLException|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ComplexContentRestrictionUnmarshaller.java|(11264,14,<298,51>,<298,65>),|java+method:///java/lang/Throwable/getMessage()|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/test/java/org/castor/xml/schema/writer/GroupTest.java|(1944,23,<64,8>,<64,31>),|java+method:///org/exolab/castor/xml/schema/XMLType/setName(java.lang.String)|>,
  <<|java+class:///org/exolab/castor/xml/schema/Group|,|java+class:///org/exolab/castor/xml/schema/Particle|>,210,|project://castor-1.3.3_xml-schema/src/test/java/org/castor/xml/schema/writer/GroupTest.java|(2307,24,<75,8>,<75,32>),|java+method:///org/exolab/castor/xml/schema/Particle/setMinOccurs(int)|>,
  <<|java+class:///org/exolab/castor/xml/schema/Group|,|java+class:///org/exolab/castor/xml/schema/Particle|>,210,|project://castor-1.3.3_xml-schema/src/test/java/org/castor/xml/schema/writer/GroupTest.java|(2342,41,<76,8>,<76,49>),|java+method:///org/exolab/castor/xml/schema/Particle/setMaxOccurs(int)|>,
